,ementa,tema_resposta_modelo,probabilidade_predicao,tema_correto,modelo_acertou
0,"Altera a Lei nº 10.098, de 19 de dezembro de 2000, para dispor sobre barreiras arquitetônicas em templos religiosos.",Direito Civil e Processual Civil,0.865,Direito Civil e Processual Civil,Sim
1,"Altera o art. 6º da Lei nº 10.826, de 22 de dezembro de 2003, que dispõe sobre registro, posse e comercialização de armas de fogo e munição, sobre o Sistema Nacional de Armas - Sinarm, define crimes e dá outras providências, para conceder porte de arma aos advogados.",Direito Penal e Processual Penal,1.0,Direito Penal e Processual Penal,Sim
2,"AUTORIZA O PODER EXECUTIVO A ABRIR, PELO MINISTERIO DA SAUDE, O CREDITO ESPECIAL DE Cr$ 10.000.000,00 DESTINADO AO CONGRESSO MEDICO, A REALIZAR-SE EM JULHO DE 1960, NA CIDADE DO RIO DE JANEIRO, EM COMEMORAÇÃO DO SEU VIGESIMO QUINTO ANIVERSARIO DE FUNÇÃO.",Direitos Humanos e Minorias,0.945,Direitos Humanos e Minorias,Sim
3,Cria mecanismos para coibir a violência e a discriminação política contra a mulher e dá outras providências.,Direitos Humanos e Minorias,0.96,Direitos Humanos e Minorias,Sim
4,"ASSEGURA AOS FUNCIONARIOS PUBLICOS CIVIS DA UNIÃO E AOS MILITARES REQUISITADOS PARA SERVIR NA COMISSÃO MISTA FERROVIARIA BRASILEIRO - BOLIVIANA, O DIREITO A CONTAGEM DE TEMPO DE SERVIÇO EM DOBRO PARA EFEITO DE APOSENTADORIA OU DISPONIBILIDADE.",Trabalho e Emprego,0.925,Trabalho e Emprego,Sim
5,"Autoriza referendo acerca da comercialização de arma de fogo e munição em Território Nacional, a se realizar no primeiro domingo do mês de outubro de 2005.",Direito Penal e Processual Penal,0.615,Direito Penal e Processual Penal,Sim
6,"EQUIPARA AOS FUNCIONARIOS EFETIVOS, PARA EFEITO DE APOSENTADORIA, DISPONIBILIDADE, LICENÇA E FERIAS, OS EXTRANUMERARIOS DA UNIÃO, QUE TENHAM OU VIEREM COMPLETAR CINCO ANOS DE SERVIÇO, NO EXERCICIO DE FUNÇÃO DE CARATER PERMANENTE.",Trabalho e Emprego,0.81,Trabalho e Emprego,Sim
7,Institui o Dia Nacional da Mulher Empresária.,Direitos Humanos e Minorias,0.955,Direitos Humanos e Minorias,Sim
8,Institui o Dia Nacional da Mulher Empresária.,Direitos Humanos e Minorias,0.955,Direitos Humanos e Minorias,Sim
9,Institui o Dia Nacional da Mulher Empresária.,Direitos Humanos e Minorias,0.955,Direitos Humanos e Minorias,Sim
10,Institui o Dia Nacional da Mulher Empresária.,Direitos Humanos e Minorias,0.955,Direitos Humanos e Minorias,Sim
11,CONCEDE ISENÇÃO DO PAGAMENTO DO IMPOSTO DE RENDA AOS ASSALARIADOS QUE PERCEBEM ATE SEIS SALARIOS-MINIMOS.,Trabalho e Emprego,0.855,Trabalho e Emprego,Sim
12,CONCEDE AOS RADIALISTAS APOSENTADORIA INTEGRAL AOS TRINTA ANOS DE SERVIÇO.,Trabalho e Emprego,0.91,Trabalho e Emprego,Sim
13,Dispõe sobre a realização de vasectomia e ligadura de trompas pela rede pública hospitalar.,Direitos Humanos e Minorias,0.9091666666666667,Direitos Humanos e Minorias,Sim
14,"Dispõe sobre a distância mínima, nas salas de projeção cinematográfica, entre a tela de projeção e a primeira fileira de poltronas.","Arte, Cultura e Religião",0.845,"Arte, Cultura e Religião",Sim
15,"ALTERA O ARTIGO PRIMEIRO DA LEI 5698, DE 31 DE AGOSTO DE 1971, QUE DISPÕE SOBRE AS PRESTAÇÕES DEVIDAS A EX-COMBATENTE SEGURADO DA PREVIDENCIA SOCIAL.",Trabalho e Emprego,0.875,Trabalho e Emprego,Sim
16,"ALTERA O ARTIGO PRIMEIRO DA LEI 5698, DE 31 DE AGOSTO DE 1971, QUE DISPÕE SOBRE AS PRESTAÇÕES DEVIDAS A EX-COMBATENTE SEGURADO DA PREVIDENCIA SOCIAL.",Trabalho e Emprego,0.875,Trabalho e Emprego,Sim
17,"ALTERA O ARTIGO PRIMEIRO DA LEI 5698, DE 31 DE AGOSTO DE 1971, QUE DISPÕE SOBRE AS PRESTAÇÕES DEVIDAS A EX-COMBATENTE SEGURADO DA PREVIDENCIA SOCIAL.",Trabalho e Emprego,0.875,Trabalho e Emprego,Sim
18,"ALTERA O ARTIGO PRIMEIRO DA LEI 5698, DE 31 DE AGOSTO DE 1971, QUE DISPÕE SOBRE AS PRESTAÇÕES DEVIDAS A EX-COMBATENTE SEGURADO DA PREVIDENCIA SOCIAL.",Trabalho e Emprego,0.875,Trabalho e Emprego,Sim
19,"ALTERA O ARTIGO PRIMEIRO DA LEI 5698, DE 31 DE AGOSTO DE 1971, QUE DISPÕE SOBRE AS PRESTAÇÕES DEVIDAS A EX-COMBATENTE SEGURADO DA PREVIDENCIA SOCIAL.",Trabalho e Emprego,0.875,Trabalho e Emprego,Sim
20,"ALTERA O ARTIGO PRIMEIRO DA LEI 5698, DE 31 DE AGOSTO DE 1971, QUE DISPÕE SOBRE AS PRESTAÇÕES DEVIDAS A EX-COMBATENTE SEGURADO DA PREVIDENCIA SOCIAL.",Trabalho e Emprego,0.875,Trabalho e Emprego,Sim
21,"ALTERA O ARTIGO PRIMEIRO DA LEI 5698, DE 31 DE AGOSTO DE 1971, QUE DISPÕE SOBRE AS PRESTAÇÕES DEVIDAS A EX-COMBATENTE SEGURADO DA PREVIDENCIA SOCIAL.",Trabalho e Emprego,0.875,Trabalho e Emprego,Sim
22,"ALTERA O ARTIGO PRIMEIRO DA LEI 5698, DE 31 DE AGOSTO DE 1971, QUE DISPÕE SOBRE AS PRESTAÇÕES DEVIDAS A EX-COMBATENTE SEGURADO DA PREVIDENCIA SOCIAL.",Trabalho e Emprego,0.875,Trabalho e Emprego,Sim
23,"ALTERA O ARTIGO PRIMEIRO DA LEI 5698, DE 31 DE AGOSTO DE 1971, QUE DISPÕE SOBRE AS PRESTAÇÕES DEVIDAS A EX-COMBATENTE SEGURADO DA PREVIDENCIA SOCIAL.",Trabalho e Emprego,0.875,Trabalho e Emprego,Sim
24,"Acrescenta § 4º no Art. 145 da Lei 11.101, de 9 de fevereiro de 2005, e o § 5° no Art. 3º da Lei nº 7.998, de 11 de janeiro de 1990, para facilitar e efetivar o direito ao arrendamento da empresa a sociedades constituídas por empregados do próprio devedor, na hipótese de decretação de falência.",Previdência e Assistência Social,0.57,Previdência e Assistência Social,Sim
