id,uri,dataInicio,dataFim
56,https://dadosabertos.camara.leg.br/api/v2/legislaturas/56,2019,2023
55,https://dadosabertos.camara.leg.br/api/v2/legislaturas/55,2015,2019
54,https://dadosabertos.camara.leg.br/api/v2/legislaturas/54,2011,2015
53,https://dadosabertos.camara.leg.br/api/v2/legislaturas/53,2007,2011
52,https://dadosabertos.camara.leg.br/api/v2/legislaturas/52,2003,2007
51,https://dadosabertos.camara.leg.br/api/v2/legislaturas/51,1999,2003
50,https://dadosabertos.camara.leg.br/api/v2/legislaturas/50,1995,1999
49,https://dadosabertos.camara.leg.br/api/v2/legislaturas/49,1991,1995
48,https://dadosabertos.camara.leg.br/api/v2/legislaturas/48,1987,1991
47,https://dadosabertos.camara.leg.br/api/v2/legislaturas/47,1983,1987
46,https://dadosabertos.camara.leg.br/api/v2/legislaturas/46,1979,1983
45,https://dadosabertos.camara.leg.br/api/v2/legislaturas/45,1975,1979
44,https://dadosabertos.camara.leg.br/api/v2/legislaturas/44,1971,1975
43,https://dadosabertos.camara.leg.br/api/v2/legislaturas/43,1967,1971
42,https://dadosabertos.camara.leg.br/api/v2/legislaturas/42,1963,1967
41,https://dadosabertos.camara.leg.br/api/v2/legislaturas/41,1959,1963
40,https://dadosabertos.camara.leg.br/api/v2/legislaturas/40,1955,1959
39,https://dadosabertos.camara.leg.br/api/v2/legislaturas/39,1951,1955
38,https://dadosabertos.camara.leg.br/api/v2/legislaturas/38,1946,1951
37,https://dadosabertos.camara.leg.br/api/v2/legislaturas/37,1935,1937
36,https://dadosabertos.camara.leg.br/api/v2/legislaturas/36,1934,1935
