"id";"uri";"siglaTipo";"numero";"ano";"codTipo";"descricaoTipo";"ementa";"ementaDetalhada";"keywords";"dataApresentacao";"uriOrgaoNumerador";"uriPropAnterior";"uriPropPrincipal";"uriPropPosterior";"urlInteiroTeor";"urnFinal";"ultimoStatus_dataHora";"ultimoStatus_sequencia";"ultimoStatus_uriRelator";"ultimoStatus_idOrgao";"ultimoStatus_siglaOrgao";"ultimoStatus_uriOrgao";"ultimoStatus_regime";"ultimoStatus_descricaoTramitacao";"ultimoStatus_idTipoTramitacao";"ultimoStatus_descricaoSituacao";"ultimoStatus_idSituacao";"ultimoStatus_despacho";"ultimoStatus_url"
"12671";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/12671";"CON";"10";"1996";"129";"Consulta";"Solicita a manifestação da Comissão de Constituição e Justiça e de Redação sobre procedimento a ser adotado pela Mesa da Casa no tocante a requerimentos de informação a Ministro de Estado que não tenham sido respondidos no prazo constitucional.";"";"CONSULTA, COMISSÃO DE CONSTITUIÇÃO E JUSTIÇA,
REDAÇÃO, CAMARA DOS DEPUTADOS, PROCEDIMENTO, UTILIZAÇÃO,
MESA DIRETORA, RESPEITO, REQUERIMENTO DE INFORMAÇÃO, REMESSA,
MINISTRO DE ESTADO, AUSENCIA, FALTA, RESPOSTA, PRAZO
DETERMINADO, PRINCIPIO CONSTITUCIONAL.";"1996-10-18T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=86803";"";"2003-12-16T00:00:00";"26";"https://dadosabertos.camara.leg.br/api/v2/deputados/74650";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Ordinária (Art. 151, III, RICD)";"Encaminhamento";"180";"Arquivada";"923";"Ao arquivo - Guia 87";""
"12724";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/12724";"INC";"487";"1996";"133";"Indicação";"Sugere a adoção de medidas tendentes a esclarecer publicação sobre a reforma da previdências social em inglês.";"";"SUGESTÃO, CONVOCAÇÃO, MINISTRO DE ESTADO, (MPAS), ESCLARECIMENTOS,
PUBLICAÇÃO, ALTERAÇÃO, PREVIDENCIA SOCIAL, LINGUA INGLESA.";"1996-01-17T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=60372";"";"1996-02-06T00:00:00";"3";"";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Especial";"Leitura e publicação";"105";"Transformado em nova proposição";"1230";"LEITURA E PUBLICAÇÃO DA MATERIA PARA ENCAMINHAMENTO AO
PODER EXECUTIVO.
DCD 27 01 96 PAG 2613 COL 01.";""
"13123";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13123";"MSC";"353";"1996";"134";"Mensagem";"ENCAMINHA ESCLARECIMENTOS QUANTO A PROVIDENCIAS DO ORGÃO
COMPETENTE, EM CONSONANCIA COM AS CONCLUSÕES DO RELATORIO FINAL
DA COMISSÃO PARLAMENTAR DE INQUERITO QUE INVESTIGOU A ATUAÇÃO DO
ESCRITORIO CENTRAL DE ARRECADAÇÃO E DISTRIBUIÇÃO - ECAD.";"";"Esclarecimentos, órgão público, conclusão, relatório, (CPI), direito autoral, investigação, (ECAD).";"1996-04-26T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"";"";"2001-08-22T14:08:24";"0";"";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"";"Não Informado";"5";"Arquivada";"923";"ENCAMINHA ESCLARECIMENTOS QUANTO A PROVIDENCIAS DO ORGÃO
COMPETENTE, EM CONSONANCIA COM AS CONCLUSÕES DO RELATORIO FINAL
DA COMISSÃO PARLAMENTAR DE INQUERITO QUE INVESTIGOU A ATUAÇÃO DO
ESCRITORIO CENTRAL DE ARRECADAÇÃO E DISTRIBUIÇÃO - ECAD.";""
"13125";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13125";"MSC";"360";"1996";"134";"Mensagem";"SUBMETE A CONSIDERAÇÃO DO CONGRESSO NACIONAL A PROPOSTA DE CONCESSÃO
DO DIREITO REAL DE USO RESOLUVEL DAS TERRAS QUE CONSTITUEM A AREA DA
RESERVA EXTRATIVISTA DO ALTO JURUA, LOCALIZADA NO ESTADO DO ACRE.";"";"SOLICITAÇÃO, APRECIAÇÃO, CONGRESSO NACIONAL, TEXTO, CONCESSÃO,
DIREITOS, UTILIZAÇÃO, TERRAS, CONDIÇÃO RESOLUTORIA, AREA, RESERVA
EXTRATIVISTA, RIO, ALTO JURUA, ESTADO, (AC).";"1996-05-02T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=56744";"";"2000-12-15T00:00:00";"7";"https://dadosabertos.camara.leg.br/api/v2/deputados/73648";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Ordinária (Art. 151, III, RICD)";"Notificações";"1005";"Arquivada";"923";"Ao arquivo - Guia 105/2000.";""
"13160";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13160";"MSC";"449";"1996";"134";"Mensagem";"Submete à apreciação do Congresso Nacional o ato constante do Decreto de de 16 de maio de 1996, que ""renova a concessão outorgada à Rádio Regional do Araguaia Ltda., para explorar serviço de radiodifusão sonora em onda média, na cidade de Conceição do Araguaia, Estado do Pará"".";"";"SOLITAÇÃO, APRECIAÇÃO, CONGRESSO NACIONAL, TEXO, ATO, RENOVAÇÃO,
CONCESSÃO, RADIODIFUSÃO, EMISSORA, RADIO, MUNICIPIO, CONCEIÇÃO DO
ARAGUAIA, (PA).";"1996-05-22T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=62864";"";"2006-07-28T00:00:00";"21";"https://dadosabertos.camara.leg.br/api/v2/deputados/74087";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Art. 223 - CF";"Encaminhamento";"180";"Retirado pelo Autor";"950";"Ofício SGM/P 1.433/06, encaminhando, em devolução, à Casa Civil da Presidência da República, os processos de radiodifusão retirados em razão do deferimento da MSC 474/06.";""
"13163";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13163";"MSC";"454";"1996";"134";"Mensagem";"Submete a apreciação do Congresso Nacional o ato constante do Decreto de 16 de maio de 1996, que ""renova a concessão da Rádio Fascinação Ltda., para explorar serviço de radiodifusão sonora em onda média, na cidade de Itapetinga, Estado da Bahia"".";"";"SOLICITAÇÃO, APRECIAÇÃO, CONGRESSO NACIONAL, TEXTO, ATO, RENOVAÇÃO,
CONCESSÃO, RADIODIFUSÃO, EMISSORA, ITAPETINGA, (BA).";"1996-05-23T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=62876";"";"2006-07-28T00:00:00";"21";"https://dadosabertos.camara.leg.br/api/v2/deputados/74087";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Art. 223 - CF";"Encaminhamento";"180";"Retirado pelo Autor";"950";"Ofício SGM/P 1.433/06, encaminhando, em devolução, à Casa Civil da Presidência da República, os processos de radiodifusão retirados em razão do deferimento da MSC 474/06.";""
"13166";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13166";"MSC";"459";"1996";"134";"Mensagem";"Submete à apreciação do Congresso Nacional o ato constante do Decreto de 16 de maio de 1996, que ""renova a concessão da Rádio Cultura de Mogi Mirim Ltda., para explorar serviço de radiodifusão sonora em onda média, na cidade de Mogi Mirim, Estado de São Paulo"".";"";"SOLICITAÇÃO, APRECIAÇÃO, CONGRESSO NACIONAL, TEXTO, ATO, RENOVAÇÃO, CONCESSÃO, SERVIÇO, RADIODIFUSÃO, EMISSORA, RADIO, MUNICIPIO, MOGI MIRIM (SP), SÃO PAULO (ESTADO).";"1996-05-23T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=62882";"";"2002-12-09T00:00:00";"14";"https://dadosabertos.camara.leg.br/api/v2/deputados/74427";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Art. 223 - CF";"Transformada em Nova Proposição";"469";"Transformado em nova proposição";"1230";"Transformado no PDC 2520/2002";""
"13167";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13167";"MSC";"460";"1996";"134";"Mensagem";"Submete à apreciação do Congresso Nacional o ato constante do Decreto de 16 de maio de 1996, que ""renova a concessão da Rádio Cultura de Cuiabá Ltda, para explorar serviço de radiodifusão sonora em onda média, na cidade de Cuiabá, Estado de Mato Grosso"".";"";"SOLICITAÇÃO, APRECIAÇÃO, CONGRESSO NACIONAL, TEXTO, ATO, RENOVAÇÃO,
CONCESSÃO, SERVIÇO, RADIODIFUSÃO, EMISSORA, RADIO, MUNICIPIO,
CUIABA, (MT).";"1996-05-23T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=62887";"";"2005-04-28T10:18:04";"10";"https://dadosabertos.camara.leg.br/api/v2/deputados/74812";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Art. 223 - CF";"Encaminhamento";"180";"Transformado em nova proposição";"1230";"Transformado no PDC-1632/2005";""
"13168";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13168";"MSC";"463";"1996";"134";"Mensagem";"Submete à apreciação do Congresso Nacional o ato constante do Decreto de 16 de maio de 1996, que ""renova a concessão da Rádio 710 de Bauru Ltda., para explorar serviço de radiodifusão sonora em onda média, na cidade de Bauru, Estado de São Paulo"".";"";"SOLICITAÇÃO, APRECIAÇÃO, CONGRESSO NACIONAL, TEXTO, ATO, RENOVAÇÃO, CONCESSÃO, RADIODIFUSÃO, EMISSORA, RADIO, MUNICIPIO, BAURU (SP), SÃO PAULO (ESTADO).";"1996-05-23T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=62895";"";"2006-07-28T00:00:00";"21";"https://dadosabertos.camara.leg.br/api/v2/deputados/74087";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Art. 223 - CF";"Encaminhamento";"180";"Retirado pelo Autor";"950";"Ofício SGM/P 1.433/06, encaminhando, em devolução, à Casa Civil da Presidência da República, os processos de radiodifusão retirados em razão do deferimento da MSC 474/06.";""
"13170";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13170";"MSC";"477";"1996";"134";"Mensagem";"Submete a apreciação do Congresso Nacional o ato constante do Decreto de 22 de maio de 1996, que ""renova a concessão à Rádio Independência do Tocantins Ltda., para explorar serviço de radiodifusão sonora em onda média, na cidade de Paraíso do Tocantins, Estado do Tocantins"".";"";"SOLICITAÇÃO, APRECIAÇÃO, CONGRESSO NACIONAL, TEXTO, ATO, RENOVAÇÃO,
CONCESSÃO, RADIODIFUSÃO, EMISSORA, RADIO, MUNICIPIO, PARAISO DE
TOCANTINS, (TO).";"1996-05-27T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=62913";"";"2003-10-03T00:00:00";"11";"https://dadosabertos.camara.leg.br/api/v2/deputados/74554";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Art. 223 - CF";"Transformada em Nova Proposição";"469";"Transformado em nova proposição";"1230";"TRANSFORMADA NO PROJETO DE DECRETO LEGISLATIVO 767/03.";""
