cod,sigla,nome,descricao
129,CON,Consulta,Consulta
130,EMC,Emenda na Comissão,Emenda Apresentada na Comissão
131,EMP,Emenda de Plenário,Emenda de Plenário
132,EMS,Emenda/Substitutivo do Senado,Emenda/Substitutivo do Senado
133,INC,Indicação,Indicação
134,MSC,Mensagem,Mensagem
135,PDC,Projeto de Decreto Legislativo,Projeto de Decreto Legislativo
136,PEC,Proposta de Emenda à Constituição,"Proposta de Emenda à Constituição (Art. 60 CF c/c art. 201 a 203, RICD)"
137,PET,Petição,Petição
138,PFC,Proposta de Fiscalização e Controle,Proposta de Fiscalização e Controle
139,PL,Projeto de Lei,Projeto de Lei
140,PLP,Projeto de Lei Complementar,Projeto de Lei Complementar (Art. 61 CF)
141,PRC,Projeto de Resolução,Projeto de Resolução
142,PRN,Projeto de Resolução do Congresso Nacional,Projeto de Resolução (CN)
143,RCP,Requerimento de Instituição de CPI,Requerimento de Instituição de Comissão Parlamentar de Inquérito
144,REC,Recurso,Recurso
145,REM,Reclamação,Reclamação
146,REP,Representação,Representação
147,REQ,Requerimento,
148,RIC,Requerimento de Informação,"Requerimento de Informação (Art. 116, RICD)"
150,REQ,Requerimento de Convocação,
151,SIT,Solicitação de Informação ao TCU,Solicitação de Informação ao TCU
153,TVR,Ato de Concessão e Renovação de Concessão de Emissora de Rádio e Televisão,TVR
154,REC,Recurso do Congresso Nacional,Recurso do Congresso Nacional
171,INA,Indicação de Autoridade,Indicação de Autoridade
181,OF,Ofício,Ofício
185,P.C,Parecer (CD),Parecer (CD)
187,PAR,Parecer de Comissão,Parecer de Comissão
189,MAN,Manifestação do Relator,Manifestação do Relator
190,PRL,Parecer do Relator,Parecer Relator
191,PRV,Parecer Vencedor,Parecer Vencedor
192,PPP,Parecer Proferido em Plenário,Parecer Proferido em Plenário
193,PRR,Parecer Reformulado,Parecer Reformulado
195,CVO,Complementação de Voto,Complementação de Voto
196,PES,Parecer às Emendas Apresentadas ao Substitutivo do Relator,Parecer às emendas apresentadas ao Substitutivo do Relator 
197,RDF,Redação Final,Redação Final
201,MAN,Manifestação pela Prejudicialidade da Matéria,Manifestação pela Prejudicialidade da Matéria
202,MAN,Manifestação pela Incompetência da Comissão,Manifestação pela Incompetência da Comissão
211,PRF,Projeto de Resolução do Senado Federal,Projeto de Resolução do Senado Federal
246,CST,Solicitação de Pronunciamento,CST
253,SGM,Ofício da Mesa,Ofício da Mesa
254,DIS,Discurso,Discurso
255,SBT,Substitutivo,Substitutivo
256,SBE,Subemenda,Subemenda
257,EMR,Emenda de Relator,Emenda de Relator
258,ESB,Emenda ao Substitutivo,Emenda ao Substitutivo
260,VTS,Voto em Separado,Voto em Separado
261,DTQ,Destaque,Destaque
262,REL,Relatório de Subcomissão,Relatório de Subcomissão
263,DTN,Destaque (CN),Destaque de Bancada (CN) ou Destaque Simples (CN)
270,DVT,Declaração de Voto,Declaração de Voto
273,EML,Emenda à LDO,Emenda à LDO
276,SDL,Sugestão de Emenda à LDO - CLP,Sugestão de Emenda à LDO
285,SUG,Sugestão,Sugestão
286,SUM,Súmula,Súmula
287,EMO,Emenda ao Orçamento,Emenda ao Orçamento
288,SOA,Sugestão de Emenda ao Orçamento - CLP,Sugestão de Emenda ao Orçamento
289,REL,Relatório de CPI,Relatório de CPI
290,EMD,Emenda,Emenda
291,MPV,Medida Provisória,Medida Provisória
292,REL,Relatório,Relatório
293,REQ,Requerimento de Sessão Solene,
294,REQ,Requerimento de Audiência Pública,
295,DEN,Denúncia,Denúncia
296,,"D) PARECERES, MANIFESTAÇÕES E REDAÇÃO FINAL","E) PARECERES, MANIFESTAÇÕES E REDAÇÃO FINAL"
297,,C) EMENDAS (RICD Cap. V),D) EMENDAS (RICD Cap. V)
298,,H) OUTRAS PROPOSIÇÕES ACESSÓRIAS,OUTRAS PROPOSIÇÕES ACESSÓRIAS
